   0.6049637746E+07  0.7628917909E+02  0.7075215866E+23  0.1241950616E+18  0.2441926818E+16
   0.6254690917E+07  0.7628917818E+02  0.7819322814E+23  0.1241950596E+18  0.2441926808E+16
   0.6466694390E+07  0.7628917720E+02  0.8641688173E+23  0.1241950574E+18  0.2441926797E+16
   0.6685883747E+07  0.7628917616E+02  0.9550542452E+23  0.1241950552E+18  0.2441926786E+16
   0.6912502554E+07  0.7628917504E+02  0.1055498177E+24  0.1241950527E+18  0.2441926774E+16
   0.7146802634E+07  0.7628917384E+02  0.1166505889E+24  0.1241950502E+18  0.2441926762E+16
   0.7389044344E+07  0.7628917257E+02  0.1289188385E+24  0.1241950474E+18  0.2441926748E+16
   0.7639496867E+07  0.7628917120E+02  0.1424773511E+24  0.1241950444E+18  0.2441926733E+16
   0.7898438510E+07  0.7628916974E+02  0.1574618249E+24  0.1241950413E+18  0.2441926718E+16
   0.8166157012E+07  0.7628916819E+02  0.1740222296E+24  0.1241950379E+18  0.2441926701E+16
   0.8442949868E+07  0.7628916652E+02  0.1923243072E+24  0.1241950343E+18  0.2441926683E+16
   0.8729124652E+07  0.7628916474E+02  0.2125512312E+24  0.1241950304E+18  0.2441926664E+16
   0.9024999368E+07  0.7628916283E+02  0.2349054393E+24  0.1241950263E+18  0.2441926644E+16
   0.9330902797E+07  0.7628916080E+02  0.2596106600E+24  0.1241950218E+18  0.2441926622E+16
   0.9647174862E+07  0.7628915862E+02  0.2869141514E+24  0.1241950171E+18  0.2441926599E+16
   0.9974167010E+07  0.7628915629E+02  0.3170891762E+24  0.1241950121E+18  0.2441926574E+16
   0.1031224260E+08  0.7628915381E+02  0.3504377359E+24  0.1241950067E+18  0.2441926548E+16
   0.1066177731E+08  0.7628915115E+02  0.3872935943E+24  0.1241950009E+18  0.2441926519E+16
   0.1102315955E+08  0.7628914831E+02  0.4280256172E+24  0.1241949947E+18  0.2441926489E+16
   0.1139679088E+08  0.7628914527E+02  0.4730414644E+24  0.1241949881E+18  0.2441926457E+16
   0.1178308651E+08  0.7628914203E+02  0.5227916694E+24  0.1241949811E+18  0.2441926422E+16
   0.1218247568E+08  0.7628913855E+02  0.5777741493E+24  0.1241949736E+18  0.2441926385E+16
   0.1259540220E+08  0.7628913485E+02  0.6385391870E+24  0.1241949655E+18  0.2441926346E+16
   0.1302232492E+08  0.7628913088E+02  0.7056949395E+24  0.1241949569E+18  0.2441926303E+16
   0.1346371826E+08  0.7628912664E+02  0.7799135242E+24  0.1241949477E+18  0.2441926258E+16
   0.1392007269E+08  0.7628912211E+02  0.8619377456E+24  0.1241949379E+18  0.2441926210E+16
   0.1439189532E+08  0.7628911727E+02  0.9525885296E+24  0.1241949274E+18  0.2441926158E+16
   0.1487971045E+08  0.7628911209E+02  0.1052773140E+25  0.1241949161E+18  0.2441926103E+16
   0.1538406016E+08  0.7628910656E+02  0.1163494257E+25  0.1241949041E+18  0.2441926044E+16
   0.1590550488E+08  0.7628910064E+02  0.1285860017E+25  0.1241948913E+18  0.2441925981E+16
   0.1644462405E+08  0.7628909432E+02  0.1421095095E+25  0.1241948775E+18  0.2441925913E+16
